Path *,Title *,Source ID *,Description,Author,Language,License ID *,License Description,Copyright Holder,Number Correct,Out of Total,Randomize,Thumbnail
VGISrestore/Upper Primary/Primary six/I.C.T./Exercise 2 - Using search engines to find information,Exercise 2 - Using search engines to find information,Exercise_2_-_Using_search_engines_to_find_information,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Upper Primary/Primary six/I.C.T./Exercise 3 - Typing using a typing software,Exercise 3 - Typing using a typing software,Exercise_3_-_Typing_using_a_typing_software,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Upper Primary/Primary six/I.C.T./Exercise 4 - Creating and renaming folders,Exercise 4 - Creating and renaming folders,Exercise_4_-_Creating_and_renaming_folders,Mouse skills,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Mathematics/Exercise 1 - Sets,Exercise 1 - Sets,Exercise_1_-_Sets,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Mathematics/Exercise 2 - Types of sets,Exercise 2 - Types of sets,Exercise_2_-_Types_of_sets,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
"VGISrestore/J.H.S./J.H.S. 1/Mathematics/Exercise 3 - Subsets, intersection and union of sets","Exercise 3 - Subsets, intersection and union of sets","Exercise_3_-_Subsets,_intersection_and_union_of_sets",,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Mathematics/Exercise 4 - Equivalent Fractions,Exercise 4 - Equivalent Fractions,Exercise_4_-_Equivalent_Fractions,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Mathematics/Exercise 5 - Addition and subtraction of fractions,Exercise 5 - Addition and subtraction of fractions,Exercise_5_-_Addition_and_subtraction_of_fractions,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Integrated Science/Exercise 1 - Matter,Exercise 1 - Matter,Exercise_1_-_Matter,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Integrated Science/Exercise 2 - Soil,Exercise 2 - Soil,Exercise_2_-_Soil,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Integrated Science/Exercise 3 - Hazards,Exercise 3 - Hazards,Exercise_3_-_Hazards,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Integrated Science/Exercise 4 - Respiratory Systems of Humans,Exercise 4 - Respiratory Systems of Humans,Exercise_4_-_Respiratory_Systems_of_Humans,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Integrated Science/Exercise 5 - Sources of energy,Exercise 5 - Sources of energy,Exercise_5_-_Sources_of_energy,,Ghana Education Service,en,CC BY,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 2/Mathematics/Exercise 1 - Area of a circle,Exercise 1 - Area of a circle,Exercise_1_-_Area_of_a_circle,Length and Area,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 2/Mathematics/Exercise 2 - Area of triangle,Exercise 2 - Area of triangle,Exercise_2_-_Area_of_triangle,Length and area,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 2/Mathematics/Exercise 3 - Surface area of prisms,Exercise 3 - Surface area of prisms,Exercise_3_-_Surface_area_of_prisms,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,True,
VGISrestore/J.H.S./J.H.S. 2/Mathematics/Exercise 4 - Volume of prisms,Exercise 4 - Volume of prisms,Exercise_4_-_Volume_of_prisms,"Length, area and volume",Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,True,
VGISrestore/J.H.S./J.H.S. 2/Mathematics/Exercise 5 - Statistics,Exercise 5 - Statistics,Exercise_5_-_Statistics,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,True,
"VGISrestore/J.H.S./J.H.S. 2/Integrated Science/Exercise 1 - Elements, compounds and mixtures I","Exercise 1 - Elements, compounds and mixtures I","Exercise_1_-_Elements,_compounds_and_mixtures_I",,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
"VGISrestore/J.H.S./J.H.S. 2/Integrated Science/Exercise 2 - Elements, compounds, and mixtures II","Exercise 2 - Elements, compounds, and mixtures II","Exercise_2_-_Elements,_compounds,_and_mixtures_II",,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 2/Integrated Science/Exercise 3 - Metals and non-metals,Exercise 3 - Metals and non-metals,Exercise_3_-_Metals_and_non-metals,,Jonas Aryeh,en,CC BY,,Jonas Aryeh,,,False,
VGISrestore/J.H.S./J.H.S. 2/Integrated Science/Exercise 4 - Chemical Compounds,Exercise 4 - Chemical Compounds,Exercise_4_-_Chemical_Compounds,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 2/Integrated Science/Exercise 5 - Mixtures,Exercise 5 - Mixtures,Exercise_5_-_Mixtures,Mixtures,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 3/Mathematics/Exercise 1 - Two set problems,Exercise 1 - Two set problems,Exercise_1_-_Two_set_problems,Sets,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 3/Mathematics/Exercise 2 -  Application of sets,Exercise 2 -  Application of sets,Exercise_2_-__Application_of_sets,Sets,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 3/Mathematics/Exercise 3 - Change of subject and substitution,Exercise 3 - Change of subject and substitution,Exercise_3_-_Change_of_subject_and_substitution,Algebraic expressions,Ghana Education Service,en,CC BY,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 3/Mathematics/Exercise 4 - Binomial expansion and factorization,Exercise 4 - Binomial expansion and factorization,Exercise_4_-_Binomial_expansion_and_factorization,Algebraic expressions,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 3/Mathematics/Exercise 5 - Properties of polygons,Exercise 5 - Properties of polygons,Exercise_5_-_Properties_of_polygons,Polygons,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 3/Integrated Science/Exercise 1 - Acids and Bases,Exercise 1 - Acids and Bases,Exercise_1_-_Acids_and_Bases,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 3/Integrated Science/Exercise 2 - Soil and water conservation,Exercise 2 - Soil and water conservation,Exercise_2_-_Soil_and_water_conservation,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,True,
VGISrestore/J.H.S./J.H.S. 3/Integrated Science/Exercise 3 - Introduction to the solar system,Exercise 3 - Introduction to the solar system,Exercise_3_-_Introduction_to_the_solar_system,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 3/Integrated Science/Exercise 4 - Solar system II,Exercise 4 - Solar system II,Exercise_4_-_Solar_system_II,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 3/Integrated Science/Exercise 5 - Dentition in humans,Exercise 5 - Dentition in humans,Exercise_5_-_Dentition_in_humans,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 1/English/Exercise 1 - Parts of speech,Exercise 1 - Parts of speech,Exercise_1_-_Parts_of_speech,Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
"VGISrestore/S.H.S./S.H.S. 1/English/Exercise 2 - COUNTABLE AND NON COUNTABLE NOUNS, CONCRETE / ABSTRACT NOUNS","Exercise 2 - COUNTABLE AND NON COUNTABLE NOUNS, CONCRETE / ABSTRACT NOUNS","Exercise_2_-_COUNTABLE_AND_NON_COUNTABLE_NOUNS,_CONCRETE_/_ABSTRACT_NOUNS",Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,True,
VGISrestore/S.H.S./S.H.S. 1/English/Exercise 3 - Singular and plural nouns and the genitive,Exercise 3 - Singular and plural nouns and the genitive,Exercise_3_-_Singular_and_plural_nouns_and_the_genitive,Grammar,Ghana Education Service,en,CC BY-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 1/English/Exercise 4 - Pronouns,Exercise 4 - Pronouns,Exercise_4_-_Pronouns,Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
"VGISrestore/S.H.S./S.H.S. 1/English/Exercise 5 - Reflexive, intensive and demonstrative pronouns","Exercise 5 - Reflexive, intensive and demonstrative pronouns","Exercise_5_-_Reflexive,_intensive_and_demonstrative_pronouns",,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 1/Social Studies/Exercise 1 - Our physical environment,Exercise 1 - Our physical environment,Exercise_1_-_Our_physical_environment,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 1/Social Studies/Exercise 2 - Adolescent Reproductive health,Exercise 2 - Adolescent Reproductive health,Exercise_2_-_Adolescent_Reproductive_health,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 1/Social Studies/Exercise 3 - Science and Technology,Exercise 3 - Science and Technology,Exercise_3_-_Science_and_Technology,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 1/Social Studies/Exercise 4 - Self Identity I,Exercise 4 - Self Identity I,Exercise_4_-_Self_Identity_I,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/S.H.S./S.H.S. 1/Social Studies/Exercise 5 - Self identity II,Exercise 5 - Self identity II,Exercise_5_-_Self_identity_II,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
"VGISrestore/S.H.S./S.H.S. 2/English/Exercise 1 - Clauses: Dependent and independent clauses, parts of a sentence.","Exercise 1 - Clauses: Dependent and independent clauses, parts of a sentence.","Exercise_1_-_Clauses:_Dependent_and_independent_clauses,_parts_of_a_sentence.",Grammar,Jonas Aryeh,en,CC BY,,Jonas Aryeh,,,False,
VGISrestore/S.H.S./S.H.S. 2/English/Exercise 2 - Parts and elements of a sentence,Exercise 2 - Parts and elements of a sentence,Exercise_2_-_Parts_and_elements_of_a_sentence,Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
